PDF_File,Well_File_No,Well_Name,API_No,Operator,County,State,Field,Pool,Latitude,Longitude
W28655.pdf,28655,Kline Federal 5300 41-18 14BX,33-053-06029,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.068583,-103.603319
W28658.pdf,28658,24-HOUR PRODUCTION RATE,33-053-06030,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.068764,-103.603319
W28744.pdf,28744,Sec. 29/30/31/32 T153N R100W,33-053-06051,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.041019,-103.603006
W28754.pdf,28754,Kline Federal 5300 31-18 8B,33-053-00605,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.074489,-103.603161
W28755.pdf,28755,KLINE FEDERAL 5300 31-18 7T,33-053-06056,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.0744,-103.603161
W28756.pdf,28756,Kline Federal 5300 31-18 6B,33-053-06057,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.074308,-103.603161
W28976.pdf,28976,WADE FEDERAL 5300 21-30 12T,33-053-06129,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.04865,-103.603047
W28978.pdf,28978,WADE FEDERAL 5300 21-30 13B,33-053-06131,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.048831,-103.603047
W29242.pdf,29242,Kline Federal 5300 11-18 5B,33-053-06223,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.079108,-103.603056
W29244.pdf,29244,Kline Federal 5300 11-18 3T,33-053-06225,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.079192,-103.602942
W29316.pdf,29316,Gramma Federal 5300 41-3112B,33-053-06231,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.026172,-103.602875
W29317.pdf,29317,,33-053-06232,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.026356,-103.602875
W29334.pdf,29334,KLINE FEDERAL 5300 11-18 2B,33-053-06243,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.079356,-103.602831
W30188.pdf,30188,,33-053-06548,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.035828,-103.603086
W30189.pdf,30189,24-HOUR PRODUCTION RATE,33-053-06549,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.035917,-103.603072
W30789.pdf,30789,Otr-Qtr,33-053-06755,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,,
W36047.pdf,36047,1149 F,33-053-08946,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.035647,-103.603108
W90244.pdf,90244,0 Deepened Well,33-053-90244,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.029083,-103.599575
W90258.pdf,90258,260 F,,"Continental Resources, Inc.",Williams,ND,Baker,Bakken,48.109997,-103.731825
W90329.pdf,90329,D Deepened Well,33-053-90329,Oasis Petroleum North America LLC,McKenzie,ND,Baker,,48.066081,-103.615569
